inspector_id,total_inspections,median_duration_min,median_distance_km,offer_rate_pct,pattern_flag
CJ1111,85,37.00,30.97,81.18,"FLAG: High Distance Pattern"
CJ1147,85,37.00,37.84,77.65,"FLAG: High Distance Pattern"
CJ1159,85,36.00,37.01,83.53,"FLAG: High Distance Pattern"
CJ1164,85,38.50,31.02,76.47,"FLAG: High Distance Pattern"
CJ1200,85,39.00,29.9,78.82,"FLAG: High Distance Pattern"
CJ1015,84,37.00,33.1,84.52,"FLAG: High Distance Pattern"
CJ1046,84,34.00,37.96,73.81,"FLAG: 10 suspicious inspections (>20km & <5min)"
CJ1078,84,39.00,39.63,70.24,"FLAG: High Distance Pattern"
CJ1101,84,33.00,35.42,73.81,"FLAG: 8 suspicious inspections (>20km & <5min)"
CJ1105,84,34.00,37.42,63.10,"FLAG: 11 suspicious inspections (>20km & <5min)"
CJ1148,84,33.00,36.49,80.95,"FLAG: High Distance Pattern"
CJ1149,84,36.00,33.78,86.90,"FLAG: High Distance Pattern"
CJ1001,83,38.00,33.31,73.49,"FLAG: High Distance Pattern"
CJ1036,83,38.00,30.21,74.70,"FLAG: High Distance Pattern"
CJ1110,83,37.50,40.57,81.93,"FLAG: High Distance Pattern"
CJ1145,83,35.00,37.55,81.93,"FLAG: High Distance Pattern"
CJ1156,83,37.00,38.17,77.11,"FLAG: High Distance Pattern"
CJ1002,82,33.00,32.43,78.05,"FLAG: High Distance Pattern"
CJ1010,82,38.00,35.18,79.27,"FLAG: High Distance Pattern"
CJ1018,82,39.00,27.88,78.05,"FLAG: High Distance Pattern"
CJ1028,82,34.00,38.15,86.59,"FLAG: High Distance Pattern"
CJ1030,82,37.50,29.88,74.39,"FLAG: High Distance Pattern"
CJ1048,82,31.00,39.36,68.29,"FLAG: 8 suspicious inspections (>20km & <5min)"
CJ1052,82,35.00,37.66,65.85,"FLAG: 12 suspicious inspections (>20km & <5min)"
CJ1053,82,35.00,37.01,65.85,"FLAG: 9 suspicious inspections (>20km & <5min)"
CJ1112,82,37.00,35.94,76.83,"FLAG: High Distance Pattern"
CJ1131,82,33.00,30.8,81.71,"FLAG: High Distance Pattern"
CJ1132,82,35.50,38.66,71.95,"FLAG: High Distance Pattern"
CJ1162,82,35.00,35.69,75.61,"FLAG: High Distance Pattern"
CJ1000,81,38.00,35.77,70.37,"FLAG: High Distance Pattern"
CJ1011,81,34.00,37.39,83.95,"FLAG: High Distance Pattern"
CJ1038,81,36.00,36.24,85.19,"FLAG: High Distance Pattern"
CJ1050,81,34.00,41.9,74.07,"FLAG: 10 suspicious inspections (>20km & <5min)"
CJ1071,81,36.00,35.84,74.07,"FLAG: High Distance Pattern"
CJ1026,80,34.00,31.32,78.75,"FLAG: High Distance Pattern"
CJ1041,80,39.00,34.61,76.25,"FLAG: High Distance Pattern"
CJ1098,80,36.00,37.05,71.25,"FLAG: 8 suspicious inspections (>20km & <5min)"
CJ1113,80,36.00,36.3,82.50,"FLAG: High Distance Pattern"
CJ1128,80,34.00,36.14,80.00,"FLAG: High Distance Pattern"
CJ1161,80,33.50,34.61,77.50,"FLAG: High Distance Pattern"
CJ1184,80,34.00,29.33,73.75,"FLAG: High Distance Pattern"
CJ1187,80,35.00,35.69,86.25,"FLAG: High Distance Pattern"
CJ1190,80,37.00,35.95,73.75,"FLAG: 4 suspicious inspections (>20km & <5min)"
CJ1017,79,37.50,33.57,75.95,"FLAG: High Distance Pattern"
CJ1120,79,38.00,37.46,82.28,"FLAG: High Distance Pattern"
CJ1121,79,31.00,36.28,77.22,"FLAG: High Distance Pattern"
CJ1138,79,29.00,37.18,74.68,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1171,79,38.00,39.1,75.95,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1174,79,41.00,32.72,81.01,"FLAG: High Distance Pattern"
CJ1178,79,37.00,34.52,79.75,"FLAG: High Distance Pattern"
CJ1179,79,37.00,36.3,77.22,"FLAG: High Distance Pattern"
CJ1033,78,34.00,36.74,78.21,"FLAG: High Distance Pattern"
CJ1085,78,38.00,42.15,83.33,"FLAG: High Distance Pattern"
CJ1133,78,37.00,39.5,82.05,"FLAG: High Distance Pattern"
CJ1154,78,36.00,35.94,84.62,"FLAG: High Distance Pattern"
CJ1189,78,35.00,36.57,76.92,"FLAG: High Distance Pattern"
CJ1064,77,31.00,36.93,84.42,"FLAG: High Distance Pattern"
CJ1130,77,36.00,39.75,80.52,"FLAG: High Distance Pattern"
CJ1141,77,38.00,35.86,75.32,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1175,77,36.00,35.7,76.62,"FLAG: High Distance Pattern"
CJ1188,77,37.00,34.79,70.13,"FLAG: High Distance Pattern"
CJ1107,76,36.00,34.85,71.05,"FLAG: 9 suspicious inspections (>20km & <5min)"
CJ1122,76,35.50,38.77,76.32,"FLAG: High Distance Pattern"
CJ1158,76,34.00,37.18,78.95,"FLAG: High Distance Pattern"
CJ1163,76,38.50,35.72,85.53,"FLAG: High Distance Pattern"
CJ1165,76,31.50,35.79,78.95,"FLAG: High Distance Pattern"
CJ1168,76,32.00,40.68,77.63,"FLAG: 7 suspicious inspections (>20km & <5min)"
CJ1182,76,33.00,35.24,84.21,"FLAG: High Distance Pattern"
CJ1021,75,37.00,33.47,84.00,"FLAG: High Distance Pattern"
CJ1022,75,37.00,39.39,88.00,"FLAG: High Distance Pattern"
CJ1060,75,35.00,34.65,77.33,"FLAG: 4 suspicious inspections (>20km & <5min)"
CJ1123,75,37.50,32.94,73.33,"FLAG: High Distance Pattern"
CJ1150,75,37.00,31.75,84.00,"FLAG: High Distance Pattern"
CJ1183,75,35.00,33.13,82.67,"FLAG: High Distance Pattern"
CJ1193,75,34.00,39.53,69.33,"FLAG: 10 suspicious inspections (>20km & <5min)"
CJ1205,75,30.00,35.14,77.33,"FLAG: High Distance Pattern"
CJ1063,74,33.00,36.79,70.27,"FLAG: 10 suspicious inspections (>20km & <5min)"
CJ1100,74,28.00,43.83,60.81,"FLAG: 12 suspicious inspections (>20km & <5min)"
CJ1102,74,33.00,38.82,77.03,"FLAG: 11 suspicious inspections (>20km & <5min)"
CJ1115,74,34.00,36.02,70.27,"FLAG: High Distance Pattern"
CJ1126,74,34.00,37.32,74.32,"FLAG: High Distance Pattern"
CJ1146,74,38.00,33.78,70.27,"FLAG: High Distance Pattern"
CJ1166,74,32.00,32.88,83.78,"FLAG: High Distance Pattern"
CJ1201,74,29.50,24.1,83.78,"FLAG: High Distance Pattern"
CJ1067,73,38.00,32.18,83.56,"FLAG: High Distance Pattern"
CJ1088,73,34.50,39.97,79.45,"FLAG: High Distance Pattern"
CJ1106,73,34.00,37.28,79.45,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1155,73,34.00,40.26,80.82,"FLAG: High Distance Pattern"
CJ1091,72,37.00,37.11,81.94,"FLAG: High Distance Pattern"
CJ1104,72,31.00,39.74,77.78,"FLAG: 9 suspicious inspections (>20km & <5min)"
CJ1117,72,34.50,37.94,83.33,"FLAG: High Distance Pattern"
CJ1204,72,33.50,36.72,76.39,"FLAG: High Distance Pattern"
CJ1047,71,32.00,36.09,66.20,"FLAG: 10 suspicious inspections (>20km & <5min)"
CJ1089,71,31.50,38.36,88.73,"FLAG: High Distance Pattern"
CJ1127,71,37.50,37.15,80.28,"FLAG: High Distance Pattern"
CJ1173,71,33.00,39.35,70.42,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1056,70,30.00,38.8,65.71,"FLAG: 10 suspicious inspections (>20km & <5min)"
CJ1058,70,32.00,34.79,71.43,"FLAG: 7 suspicious inspections (>20km & <5min)"
CJ1135,70,35.00,36.36,82.86,"FLAG: High Distance Pattern"
CJ1157,70,38.50,37.68,81.43,"FLAG: High Distance Pattern"
CJ1195,70,31.00,34.96,85.71,"FLAG: High Distance Pattern"
CJ1049,69,35.50,39.92,66.67,"FLAG: 11 suspicious inspections (>20km & <5min)"
CJ1054,69,33.00,41.12,65.22,"FLAG: 9 suspicious inspections (>20km & <5min)"
CJ1055,69,34.50,42.41,72.46,"FLAG: 12 suspicious inspections (>20km & <5min)"
CJ1059,69,35.00,31.44,69.57,"FLAG: 8 suspicious inspections (>20km & <5min)"
CJ1142,69,34.00,42.25,76.81,"FLAG: 7 suspicious inspections (>20km & <5min)"
CJ1143,69,36.00,38.16,85.51,"FLAG: 3 suspicious inspections (>20km & <5min)"
CJ1160,69,37.00,37.28,81.16,"FLAG: High Distance Pattern"
CJ1191,69,36.00,38.98,65.22,"FLAG: 7 suspicious inspections (>20km & <5min)"
CJ1198,69,36.00,35.52,72.46,"FLAG: High Distance Pattern"
CJ1051,68,28.50,33.17,64.71,"FLAG: 10 suspicious inspections (>20km & <5min)"
CJ1119,68,37.00,33.72,80.88,"FLAG: High Distance Pattern"
CJ1125,68,37.00,35.21,83.82,"FLAG: High Distance Pattern"
CJ1116,67,37.00,42.03,71.64,"FLAG: High Distance Pattern"
CJ1140,67,35.50,35.7,77.61,"FLAG: 3 suspicious inspections (>20km & <5min)"
CJ1186,67,34.00,31.4,82.09,"FLAG: High Distance Pattern"
CJ1024,66,36.00,32.4,90.91,"FLAG: High Distance Pattern"
CJ1061,66,35.00,37.21,72.73,"FLAG: 7 suspicious inspections (>20km & <5min)"
CJ1114,66,38.00,29.19,83.33,"FLAG: High Distance Pattern"
CJ1137,66,31.00,40.79,69.70,"FLAG: 8 suspicious inspections (>20km & <5min)"
CJ1172,66,32.00,36.02,72.73,"FLAG: 4 suspicious inspections (>20km & <5min)"
CJ1192,66,32.50,35.94,71.21,"FLAG: 4 suspicious inspections (>20km & <5min)"
CJ1103,65,35.00,36.86,81.54,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1139,65,33.00,38.44,69.23,"FLAG: 6 suspicious inspections (>20km & <5min)"
CJ1167,65,30.00,43.8,63.08,"FLAG: 14 suspicious inspections (>20km & <5min)"
CJ1170,65,30.50,34.62,70.77,"FLAG: 4 suspicious inspections (>20km & <5min)"
CJ1209,65,36.00,41.04,80.00,"FLAG: 3 suspicious inspections (>20km & <5min)"
CJ1134,64,36.00,41.26,75.00,"FLAG: High Distance Pattern"
CJ1152,64,39.00,42.17,78.13,"FLAG: High Distance Pattern"
CJ1185,64,32.00,37.48,73.44,"FLAG: High Distance Pattern"
CJ1194,64,33.50,43.25,68.75,"FLAG: 6 suspicious inspections (>20km & <5min)"
CJ1027,63,37.00,28.34,84.13,"FLAG: High Distance Pattern"
CJ1124,63,35.00,35.91,85.71,"FLAG: High Distance Pattern"
CJ1197,63,33.00,33.57,82.54,"FLAG: High Distance Pattern"
CJ1057,61,34.00,37.53,62.30,"FLAG: 4 suspicious inspections (>20km & <5min)"
CJ1199,61,39.00,31.75,73.77,"FLAG: High Distance Pattern"
CJ1203,61,37.00,30.22,80.33,"FLAG: High Distance Pattern"
CJ1210,61,30.00,34.36,68.85,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1136,60,34.50,42.34,85.00,"FLAG: 4 suspicious inspections (>20km & <5min)"
CJ1129,59,34.00,35.12,88.14,"FLAG: High Distance Pattern"
CJ1207,58,39.00,41.12,68.97,"FLAG: 3 suspicious inspections (>20km & <5min)"
CJ1196,57,36.00,32.46,89.47,"FLAG: High Distance Pattern"
CJ1144,56,37.50,34.8,67.86,"FLAG: 5 suspicious inspections (>20km & <5min)"
CJ1208,56,32.50,38.26,71.43,"FLAG: 6 suspicious inspections (>20km & <5min)"
CJ1202,55,33.00,31.64,70.91,"FLAG: High Distance Pattern"
CJ1206,53,36.00,30.37,86.79,"FLAG: High Distance Pattern"
CJ1169,48,30.00,34.17,72.92,"FLAG: 6 suspicious inspections (>20km & <5min)"
